Song,Artist,Image,Lat,Lon
Lebanon,J.S. Ondara,https://i.scdn.co/image/ab67616d0000b273e58da07e9b95eefe571c2121,33.854721,35.862285
Lebanon,J.S. Ondara,https://i.scdn.co/image/ab67616d0000b273e58da07e9b95eefe571c2121,33.854721,35.862285
Left for Denver,The Lumineers,https://i.scdn.co/image/ab67616d0000b2730077c76c91243916b0b74dce,39.7392358,-104.990251
London in the Spring,Passenger,https://i.scdn.co/image/ab67616d0000b2734e61f016b81ffe8a41149552,51.5073509,-0.1277583
Long New York,Stolen Jars,https://i.scdn.co/image/ab67616d0000b273508ea36e79a29abae48518cf,40.7127753,-74.0059728
Manchester,Kishi Bashi,https://i.scdn.co/image/ab67616d0000b27318de81c180ffdccf44afa962,53.4807593,-2.2426305
Manhattan,Sara Bareilles,https://i.scdn.co/image/ab67616d0000b273022b4010e20659300f42c375,40.7830603,-73.9712488
Marietta,Upstate,https://i.scdn.co/image/ab67616d0000b273def14d37c91f14c736d8cad4,32.1656221,-82.9000751
Massachusetts,Handsome Ghost,https://i.scdn.co/image/ab67616d0000b2738e8e52bed62065b140d159c4,42.4072107,-71.3824374
Massachusetts,Ra Ra Riot,https://i.scdn.co/image/ab67616d0000b2733516e840c9ef5d06d75db6b7,42.4072107,-71.3824374
Messina,Modern Pleasure,https://i.scdn.co/image/ab67616d0000b27395b5e9af7be3a79aa70ddfdf,38.1937335,15.5542057
Montana,Youth Lagoon,https://i.scdn.co/image/ab67616d0000b2733ef1207895b314d646f6a3b7,46.8796822,-110.3625658
Montreal,Wylen,https://i.scdn.co/image/ab67616d0000b273ee9efa0ab721c018cd340722,45.5016889,-73.567256
Morocco,Moon Taxi,https://i.scdn.co/image/ab67616d0000b273b40a526d36c2705b7d0307f3,31.791702,-7.092619999999999
Moscow,Autoheart,https://i.scdn.co/image/ab67616d0000b273aa3a7399971d902e90e71095,55.755826,37.6172999
Moving to New York,The Wombats,https://i.scdn.co/image/ab67616d0000b273a0b4a5b132f8555362a7174d,40.7127753,-74.0059728
Mykonos,Fleet Foxes,https://i.scdn.co/image/ab67616d0000b2735d3392c1c31e81a56a2d9f56,37.4467354,25.3288845
Nantes,Beirut,https://i.scdn.co/image/ab67616d0000b27395020a88d022c23d2ded6aed,47.218371,-1.553621
Nashville,David Mead,https://i.scdn.co/image/ab67616d0000b273027bab9100a21254a1c82893,36.1626638,-86.7816016
NEW DORP. NEW YORK,"SBTRKT, Ezra Koenig",https://i.scdn.co/image/ab67616d0000b2731fecb146ba8b138e29b069be,40.7127753,-74.0059728
New Orleans,Parachute,https://i.scdn.co/image/ab67616d0000b273bf4ed2df35e0f3a81bec4991,29.95106579999999,-90.0715323
New York,Urban Cone,https://i.scdn.co/image/ab67616d0000b273760157a341740478f939ff9f,40.7127753,-74.0059728
"New York, New York II",Glassio,https://i.scdn.co/image/ab67616d0000b273b5f23f29e2a2f7f131bb6500,40.7127753,-74.0059728
Norway,The Paper Tigers,https://i.scdn.co/image/ab67616d0000b273630e59c29fcbc0abd6f36630,60.47202399999999,8.468945999999999
Norway,The Brummies,https://i.scdn.co/image/ab67616d0000b273b755882aff53af60a50e05d5,60.47202399999999,8.468945999999999
NYC Girl,The Orion Experience,https://i.scdn.co/image/ab67616d0000b2734889c266ea81f9f8fcd1c78d,40.7127753,-74.0059728
Ohio,The Hussey Brothers,https://i.scdn.co/image/ab67616d0000b27317fc8da0cf9bb33bc9ccd647,40.4172871,-82.90712300000001
Ohio,Ginger root,https://i.scdn.co/image/ab67616d0000b273488e71189d307285437ad1e0,40.4172871,-82.90712300000001
Ohio,King Princess,https://i.scdn.co/image/ab67616d0000b273b586d555c83bf5c4199aacc8,40.4172871,-82.90712300000001
Okinawa,Sure Sure,https://i.scdn.co/image/ab67616d0000b27384e7e4beb620014e8a71ed08,26.3343533,127.8056058
Oslo,De Joie,https://i.scdn.co/image/ab67616d0000b2733c069472f0139c369fedeb5c,59.9138688,10.7522454
Oxford Town,Bob Dylan,https://i.scdn.co/image/ab67616d0000b2737d214af8499aa95ad220f573,51.7520209,-1.2577263
Pasadena,Young Mister,https://i.scdn.co/image/ab67616d0000b2736408ace21d12296424e36720,34.1477849,-118.1445155
Pompeii,Bastille,https://i.scdn.co/image/ab67616d0000b273258225089decfb3d5c3718d3,40.7461572,14.4989344
Pulaski at Night,Andrew Bird,https://i.scdn.co/image/ab67616d0000b273d5f86e2ed9a548e213030078,41.8781136,-87.6297982
Rio,MIKA,https://i.scdn.co/image/ab67616d0000b27344a84d4cc8ba4fd73617b79a,-22.9068467,-43.1728965
Rio ,orangutang,https://i.scdn.co/image/ab67616d0000b273c42417c3c04d168d4c508d5d,-22.9068467,-43.1728965
San Francisco,"YOG$, Caroline Pennell",https://i.scdn.co/image/ab67616d0000b273c69442acf5c297d76a3505f2,37.7749295,-122.4194155
Santa Fe,Autoheart,https://i.scdn.co/image/ab67616d0000b273aa3a7399971d902e90e71095,35.6869752,-105.937799
Savannah,Relient K,https://i.scdn.co/image/ab67616d0000b2730b7d612d050103d76a72f8e1,32.0808989,-81.091203
Seattle,Jason Walker,https://i.scdn.co/image/ab67616d0000b2730ac8ef14095a928fcf5027a1,47.6062095,-122.3320708
Sedona,Houndmouth,https://i.scdn.co/image/ab67616d0000b273e6d4b9568e8db7d34dcba857,34.8697395,-111.7609896
Sierra Leone,Frank Ocean,https://i.scdn.co/image/ab67616d0000b2737aede4855f6d0d738012e2e5,8.460555,-11.779889
The Mariana,Everything Everything,https://i.scdn.co/image/ab67616d0000b2736d9ebb9cc11e5c16bbba1d1a,17.75,142.5
The Only Living Boy in New York,Simon & Garfunkel,https://i.scdn.co/image/ab67616d0000b273ba7fe7dd76cd4307e57dd75f,40.7127753,-74.0059728
Tropic of Cancer,Minor Poet,https://i.scdn.co/image/ab67616d0000b2732d642cf5a3bd5809164b1cc1,30.2565278,-97.7030411
Vegas Girl,Conor Maynard,https://i.scdn.co/image/ab67616d0000b27369a70bf66111a5db2de970ab,36.1699412,-115.1398296
Vienna,Billy Joel,https://i.scdn.co/image/ab67616d0000b2736ce61113662ecf693b605ee5,48.2081743,16.3738189
Visions of China,The Lumineers,https://i.scdn.co/image/ab67616d0000b273d8d8fc095c6b5192bf91848e,35.86166,104.195397
Walden Pond,Atta Boy,https://i.scdn.co/image/ab67616d0000b273dff85da64d2bb4152516169c,42.4387018,-71.3401284
Washington Square Park,Tor Miller,https://i.scdn.co/image/ab67616d0000b2731ab82b0d56d519a1cc434c01,40.7308228,-73.997332
Welcome to New York,Taylor Swift,https://i.scdn.co/image/ab67616d0000b273c79b600289a80aaef74d155d,40.7127753,-74.0059728
Wilson State Park,Elijah Wolf,https://i.scdn.co/image/ab67616d0000b273fcdf88cce0280372f5e2d080,38.9215429,-98.5092038
Yellowstone,S. Carey,https://i.scdn.co/image/ab67616d0000b27324297b1358e21aece02b8ccc,44.427963,-110.588455
